Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
M,B,U,11,52,21,9,67
F,B,Y,37,61,72,29,66
M,B,U,5,39,19,4,24
M,C,O,70,63,65,54,40
M,D,U,14,22,18,11,45
F,C,Y,29,76,75,23,55
M,E,Y,20,30,68,16,32
F,A,M,51,55,66,40,38
F,D,U,8,107,9,6,47
F,D,U,11,103,23,9,46
M,E,O,86,80,74,67,26
M,D,Y,20,94,74,16,43
F,D,M,61,55,57,47,30
F,A,M,44,48,60,34,36
M,B,Y,22,70,60,17,34
F,E,O,73,37,72,57,25
M,B,M,51,112,55,40,28
F,E,U,9,110,25,7,32
M,B,U,10,39,22,8,18
F,A,U,12,97,22,9,28
M,E,Y,23,52,66,18,50
F,B,U,9,112,9,7,40
M,E,O,73,116,61,57,25
M,C,O,89,84,74,69,36
M,A,Y,20,116,59,16,30
F,A,M,47,56,69,37,37
M,D,M,54,57,66,42,32
M,C,Y,22,23,57,17,42
F,A,U,9,106,18,7,27
M,B,Y,39,99,71,30,17
M,B,U,11,85,25,9,27
M,A,U,10,69,19,8,27
F,A,O,92,44,67,72,48
M,A,M,58,29,64,45,39
F,D,M,52,58,61,40,33
F,B,M,52,58,49,40,63
M,D,M,45,77,62,35,35
F,B,Y,28,77,60,22,49
M,A,U,11,70,21,9,28
M,E,Y,21,90,79,16,41
F,C,U,14,101,22,11,54
F,C,Y,38,97,54,30,36
F,E,O,97,31,43,75,40
M,C,Y,28,59,65,22,36
M,A,O,69,67,61,54,42
M,A,O,90,106,66,70,47
F,C,O,97,43,65,75,41
M,B,O,94,119,62,73,59
F,D,U,10,97,6,8,47
F,A,M,44,52,74,34,36
F,B,O,73,42,74,57,66
M,B,O,73,47,61,57,53
F,D,U,6,119,13,5,48
M,E,M,42,61,65,33,38
M,A,U,9,23,16,7,27
F,E,U,13,97,25,10,41
F,C,O,80,31,70,62,47
M,C,U,10,29,20,8,32
F,E,M,44,42,53,34,27
M,C,O,70,26,64,54,33
M,E,M,61,35,78,47,32
M,E,Y,33,29,61,26,45
M,D,U,13,66,21,10,46
M,B,U,8,115,24,6,44
M,A,M,56,74,66,44,39
F,E,M,58,64,71,45,48
M,D,O,81,113,56,63,23
F,D,M,45,52,65,35,35
M,B,U,7,100,28,5,46
M,C,O,84,88,50,65,46
F,B,O,76,24,75,59,51
F,E,Y,36,82,67,28,28
F,D,Y,26,74,70,20,41
M,B,O,72,77,72,56,21
M,D,U,11,32,2,9,46
M,A,M,43,73,70,33,36
F,D,U,6,101,17,5,48
F,C,M,60,44,51,47,58
M,C,Y,31,20,72,24,52
M,D,O,97,26,75,75,18
F,A,Y,31,90,65,24,33
M,E,O,96,67,77,75,34
M,B,M,45,22,63,35,45
F,C,M,61,44,62,47,40
F,D,O,79,35,71,61,24
F,B,O,70,24,74,54,67
M,C,O,69,72,67,54,46
F,C,O,65,24,73,51,39
F,A,O,92,43,65,72,48
F,B,U,12,96,19,9,43
M,A,O,89,28,70,69,47
M,A,U,11,26,15,9,28
F,B,Y,29,64,60,23,23
M,A,U,7,90,20,5,27
M,B,M,53,70,56,41,43
M,C,Y,24,92,71,19,59
M,B,Y,33,54,61,26,39
